"","Name","Date","Period","School","Sport"
"3793","Lawson, Bill ","2018-2019","Oct 2005 -  ","Kent State University ","Women's Track, Outdoor "
"3794","Lawson, Bill ","2018-2019","Oct 2005 -  ","Kent State University ","Men's Track, Indoor "
"3795","Lawson, Bill ","2018-2019","Oct 2005 -  ","Kent State University ","Men's Track, Outdoor "
"3796","Lawson, D. Curtis ","2018-2019","Aug 2005 -  ","North Carolina Central University ","Men's Tennis "
"3797","Lawson, Michael ","2018-2019","Oct 2010 - Sep 2018 ","New Jersey Institute of Technology ","Men's Swimming and Diving "
"3798","Lawson, Rachel ","2018-2019","Aug 2007 -  ","University of Kentucky ","Softball "
"3799","Lawton, Todd ","2018-2019","Aug 2004 -  ","University of South Carolina Upstate ","Women's Golf "
"3800","Lawton, Todd ","2018-2019","Aug 2004 -  ","University of South Carolina Upstate ","Men's Golf "
"3801","Laycock, Jimmye ","2018-2019","Aug 1980 - Feb 2019 ","William & Mary ","Football "
"3802","LeBlanc, Marlon ","2018-2019","Sep 2006 - Jul 2020 ","West Virginia University ","Men's Soccer "
"3803","LeBlanc, Shannon ","2018-2019","Sep 2009 -  ","University of Massachusetts Lowell ","Field Hockey "
"3804","LeRoy, Andy ","2018-2019","Aug 2006 -  ","University of Denver ","Men's Skiing "
"3805","LeRoy, Andy ","2018-2019","Aug 2006 -  ","University of Denver ","Women's Skiing "
"3806","Leach, Christy ","2018-2019","Aug 2014 -  ","Stetson University ","Women's Lacrosse "
"3807","Leach, Matthew ","2018-2019","Aug 2018 -  ","Washington State University ","Women's Swimming and Diving "
"3808","Leach, Mike ","2018-2019","Jan 2012 - Feb 2020 ","Washington State University ","Football "
"3809","Leader, Derek ","2018-2019","Mar 2016 - Dec 2019 ","Grand Canyon University ","Women's Soccer "
"3810","Leaman, Nate ","2018-2019","May 2011 -  ","Providence College ","Men's Ice Hockey "
"3811","Leamy, Jon ","2018-2019","Aug 1992 -  ","Missouri State University ","Men's Soccer "
"3812","Lear, Jim ","2018-2019","Feb 2015 -  ","Duquesne University ","Women's Track, Indoor "
"3813","Lear, Jim ","2018-2019","Feb 2015 -  ","Duquesne University ","Women's Track, Outdoor "
"3814","Lear, Jim ","2018-2019","Feb 2015 -  ","Duquesne University ","Women's Cross Country "
"3815","Lear, Jim ","2018-2019","Feb 2015 -  ","Duquesne University ","Men's Track, Outdoor "
"3816","Lear, Jim ","2018-2019","Aug 1994 -  ","Duquesne University ","Men's Cross Country "
"3817","Leary, Sean ","2018-2019","Feb 1997 -  ","Lehigh University ","Baseball "
"3818","Leatu, Alexandra ","2018-2019","Aug 2018 -  ","Georgia State University ","Women's Tennis "
"3819","Leavitt, Jack ","2018-2019","Aug 2016 -  ","Georgetown University ","Men's Swimming and Diving "
"3820","Leavitt, Jack ","2018-2019","Aug 2016 -  ","Georgetown University ","Women's Swimming and Diving "
"3821","Lech, Mark ","2018-2019","Oct 2006 -  ","University of Maine ","Women's Track, Indoor "
"3822","Lech, Mark ","2018-2019","Aug 2006 -  ","University of Maine ","Men's Track, Outdoor "
"3823","Lech, Mark ","2018-2019","Aug 2003 -  ","University of Maine ","Women's Cross Country "
"3824","Lech, Mark ","2018-2019","Aug 2006 -  ","University of Maine ","Men's Track, Indoor "
"3825","Lech, Mark ","2018-2019","Aug 2006 -  ","University of Maine ","Men's Cross Country "
"3826","Lech, Mark ","2018-2019","Oct 2006 -  ","University of Maine ","Women's Track, Outdoor "
"3827","Lee, Brian ","2018-2019","May 2019 -  ","Rice University ","Women's Soccer "
"3828","Lee, Brian ","2018-2019","Jan 2005 - May 2019 ","Louisiana State University ","Women's Soccer "
"3829","Lee, Larry ","2018-2019","Sep 2002 -  ","California Polytechnic State University ","Baseball "
"3830","Lee, Monique ","2018-2019","Sep 2017 - Mar 2020 ","South Carolina State University ","Women's Volleyball "
"3831","Lee, Monte ","2018-2019","Jul 2015 -  ","Clemson University ","Baseball "
"3832","Lee, Todd ","2018-2019","May 2018 -  ","University of South Dakota ","Men's Basketball "
"3833","Lee-McNelis, Joye ","2018-2019","Jun 2004 -  ","The University of Southern Mississippi ","Women's Basketball "
"3834","Lees, Marty ","2018-2019","Jul 2015 - Jun 2019 ","Washington State University ","Baseball "
"3835","Leese, Paul ","2018-2019","Sep 2014 -  ","The University of Texas Rio Grande Valley ","Men's Soccer "
"3836","Lefebvre, Kristi ","2018-2019","Dec 2010 -  ","University of Vermont ","Women's Soccer "
"3837","Legans, Shantay ","2018-2019","Mar 2017 -  ","Eastern Washington University ","Men's Basketball "
"3838","Legerski, Joe ","2018-2019","Jun 2003 - May 2019 ","University of Wyoming ","Women's Basketball "
"3839","Legette-Jack, Felisha ","2018-2019","Jul 2012 -  ","University at Buffalo, the State University of New York ","Women's Basketball "
"3840","Lehman, Melissa ","2018-2019","Jul 2019 -  ","Rutgers, The State University of New Jersey, New Brunswick ","Women's Lacrosse "
"3841","Lehotak, Amanda ","2018-2019","Sep 2013 -  ","Pennsylvania State University ","Softball "
"3842","Lehrer, Pieter ","2018-2019","May 2013 - Feb 2020 ","Harvard University ","Men's Soccer "
"3843","Leiba, Brent ","2018-2019","Mar 2009 -  ","Howard University ","Women's Soccer "
"3844","Leicht, Chris ","2018-2019","Oct 2018 -  ","Monmouth University ","Men's Tennis "
"3845","Leighton, Kevin ","2018-2019","Jul 2011 -  ","Fordham University ","Baseball "
"3846","Leipold, Lance ","2018-2019","Jan 2016 -  ","University at Buffalo, the State University of New York ","Football "
"3847","Leitao, David ","2018-2019","Apr 2015 -  ","DePaul University ","Men's Basketball "
"3848","Leitke, Kathy ","2018-2019","Jul 2000 -  ","Western Michigan University ","Softball "
"3849","Lemay, Chris ","2018-2019","Mar 2017 -  ","Utah Valley University ","Women's Soccer "
"3850","Lemke, Amber ","2018-2019","Sep 2011 -  ","Stephen F. Austin State University ","Women's Bowling "
"3851","Lemonis, Chris ","2018-2019","Jul 2018 -  ","Mississippi State University ","Baseball "
"3852","Lenahan, Tim ","2018-2019","May 2001 -  ","Northwestern University ","Men's Soccer "
"3853","Leo, Lauren ","2018-2019","Sep 2015 -  ","St. John's University (New York) ","Women's Tennis "
"3854","Leonard, Michael ","2018-2019","Aug 2004 -  ","Elon University ","Men's Tennis "
"3855","Leonardi, Marcelo ","2018-2019","Sep 2014 -  ","University of Michigan ","Women's Water Polo "
"3856","Leone, Ray ","2018-2019","Feb 2016 -  ","University of Maryland, College Park ","Women's Soccer "
"3857","Leroux, Mark ","2018-2019","Jul 2004 -  ","University of Missouri, Columbia ","Men's Golf "
"3858","Les, Jim ","2018-2019","Jun 2011 -  ","University of California, Davis ","Men's Basketball "
"3859","Lesesne Jr., William W. ","2018-2019","Feb 2015 -  ","University of Georgia ","Women's Soccer "
"3860","Lester, Tim ","2018-2019","Feb 2017 -  ","Western Michigan University ","Football "
"3861","Letts, Candi ","2018-2019","Sep 2015 - Jul 2019 ","Idaho State University ","Softball "
"3862","Letts, Candi ","2018-2019","Aug 2019 - Sep 2019 ","Idaho State University ","Softball "
"3863","Levens, Amanda ","2018-2019","May 2017 -  ","University of Nevada, Reno ","Women's Basketball "
"3864","Levin, Brian ","2018-2019","Jul 2019 -  ","The University of Southern Mississippi ","Softball "
"3865","Levin, Brian ","2018-2019","Sep 2016 - Jul 2019 ","Belmont University ","Softball "
"3866","Levy, Jenny ","2018-2019","Dec 1994 -  ","University of North Carolina, Chapel Hill ","Women's Lacrosse "
"3867","Lewellen, Kim ","2018-2019","Nov 2018 -  ","Wake Forest University ","Women's Golf "
"3868","Lewis, Mary ","2018-2019","Aug 2003 - Jul 2019 ","William & Mary ","Women's Gymnastics "
"3869","Lewis, Matt ","2018-2019","Sep 2011 -  ","Drake University ","Men's Golf "
"3870","Lewis, Sean ","2018-2019","Feb 2018 -  ","Kent State University ","Football "
"3871","Lewis, Yvette ","2018-2019","Aug 2017 - Oct 2018 ","Norfolk State University ","Women's Track, Indoor "
"3872","Lewis, Yvette ","2018-2019","Aug 2017 - Oct 2018 ","Norfolk State University ","Women's Cross Country "
"3873","Lewis, Yvette ","2018-2019","Aug 2017 - Oct 2018 ","Norfolk State University ","Women's Track, Outdoor "
"3874","Lewnes, Kim ","2018-2019","Jul 2019 -  ","U.S. Naval Academy ","Women's Cross Country "
"3875","Leyson, Daniel ","2018-2019","Jul 2013 -  ","University of California, Davis ","Men's Water Polo "
"3876","Libby, Larissa ","2018-2019","Jul 2004 -  ","University of Iowa ","Women's Gymnastics "
"3877","Lie, Nate ","2018-2019","Jun 2017 -  ","Xavier University ","Women's Soccer "
"3878","Lieberman, Louise ","2018-2019","Feb 2017 -  ","University of San Diego ","Women's Soccer "
"3879","Lieberwirth, Scott ","2018-2019","Sep 2011 - Oct 2020 ","University of Texas at El Paso ","Men's Golf "
"3880","Ligouri, Bette ","2018-2019","Aug 2009 -  ","Fordham University ","Women's Tennis "
"3881","Lilley, Caroline ","2018-2019","Aug 2019 -  ","Auburn University ","Women's Tennis "
"3882","Lilly, Tom ","2018-2019","Mar 1997 -  ","Creighton University ","Women's Tennis "
"3883","Lilly, Tom ","2018-2019","Mar 1997 -  ","Creighton University ","Men's Tennis "
"3884","Limam, Younes ","2018-2019","Aug 2014 -  ","Syracuse University ","Women's Tennis "
"3885","Limbaugh, Scott ","2018-2019","Aug 2012 -  ","Vanderbilt University ","Men's Golf "
"3886","Lindberg, Andreas ","2018-2019","Feb 2018 -  ","Seton Hall University ","Men's Soccer "
"3887","Lindeman, Ralph ","2018-2019","Aug 1989 -  ","U.S. Air Force Academy ","Women's Track, Indoor "
"3888","Lindeman, Ralph ","2018-2019","Aug 1989 -  ","U.S. Air Force Academy ","Women's Track, Outdoor "
"3889","Lindeman, Ralph ","2018-2019","Aug 1989 -  ","U.S. Air Force Academy ","Men's Track, Indoor "
"3890","Lindeman, Ralph ","2018-2019","Aug 1989 -  ","U.S. Air Force Academy ","Men's Track, Outdoor "
"3891","Linder, Jeffrey ","2018-2019","Jul 2016 - Apr 2020 ","University of Northern Colorado ","Men's Basketball "
"3892","Lindsey, Chip ","2018-2019","Feb 2019 -  ","Troy University ","Football "
"3893","Lindsey, Dale ","2018-2019","Feb 2013 -  ","University of San Diego ","Football "
"3894","Lindsey, Erin ","2018-2019","Aug 2019 -  ","Santa Clara University ","Women's Volleyball "
"3895","Linenberger, Michael ","2018-2019","Aug 1989 -  ","California State University, Sacramento ","Men's Soccer "
"3896","Linn, Peter ","2018-2019","Aug 2003 - Sep 2019 ","Eastern Michigan University ","Women's Swimming and Diving "
"3897","Linville, Kateri ","2018-2019","Jul 2010 - Jun 2019 ","University of Delaware ","Women's Lacrosse "
"3898","Lipka, Warren ","2018-2019","Mar 2009 -  ","Morehead State University ","Women's Soccer "
"3899","Lisac, Miha ","2018-2019","Sep 2013 -  ","West Virginia University ","Women's Tennis "
"3900","Littell, Jim ","2018-2019","Dec 2011 -  ","Oklahoma State University ","Women's Basketball "
"3901","Litterio, Joe ","2018-2019","Aug 2014 - Jun 2019 ","Rutgers, The State University of New Jersey, New Brunswick ","Baseball "
"3902","Littlewood, Michael ","2018-2019","Aug 2012 -  ","Brigham Young University ","Baseball "
"3903","Littrell, Seth ","2018-2019","Jan 2016 -  ","University of North Texas ","Football "
"3904","Litvan, Yefim ","2018-2019","Jul 2007 - Sep 2019 ","New Jersey Institute of Technology ","Men's Fencing "
"3905","Litvan, Yefim ","2018-2019","Jul 2007 - Sep 2019 ","New Jersey Institute of Technology ","Women's Fencing "
"3906","Litzinger, Mike ","2018-2019","May 2016 -  ","University of Notre Dame ","Men's Swimming and Diving "
"3907","Litzinger, Mike ","2018-2019","Jul 2015 -  ","University of Notre Dame ","Women's Swimming and Diving "
"3908","Livingston, Princess ","2018-2019","Sep 2016 - Nov 2018 ","Central Connecticut State University ","Women's Lacrosse "
"3909","Livreri, Maggie ","2018-2019","Aug 2018 -  ","Boise State University ","Softball "
"3910","Lizzotte, Susan ","2018-2019","Jul 2010 -  ","University of Maine ","Men's Swimming and Diving "
"3911","Lizzotte, Susan ","2018-2019","Jul 2010 -  ","University of Maine ","Women's Swimming and Diving "
"3912","Lloyd, Thomas ","2018-2019","Sep 2013 -  ","Loyola Marymount University ","Men's Tennis "
"3913","LoPresti, Mike ","2018-2019","Aug 2004 -  ","Fairleigh Dickinson University, Metropolitan Campus ","Women's Bowling "
"3914","Locksley, Michael ","2018-2019","Feb 2019 -  ","University of Maryland, College Park ","Football "
"3915","Lodge, Matt ","2018-2019","Apr 2018 -  ","Murray State University ","Women's Soccer "
"3916","Loeffler, Brian ","2018-2019","Aug 2003 -  ","Loyola University Maryland ","Men's Swimming and Diving "
"3917","Loeffler, Brian ","2018-2019","Aug 2003 -  ","Loyola University Maryland ","Women's Swimming and Diving "
"3918","Loeffler, Scot ","2018-2019","Jan 2019 -  ","Bowling Green State University ","Football "
"3919","Loeffler, Tim ","2018-2019","Jul 2014 -  ","University of Illinois Chicago ","Men's Swimming and Diving "
"3920","Loeffler, Tim ","2018-2019","Jul 2014 -  ","University of Illinois Chicago ","Women's Swimming and Diving "
"3921","Loeswick, Steve ","2018-2019","Mar 2018 -  ","Coastal Carolina University ","Women's Beach Volleyball "
"3922","Loftin, Emily ","2018-2019","Sep 2013 -  ","California State University, Fresno ","Women's Golf "
"3923","Logan, Chris ","2018-2019","Feb 2017 -  ","University of North Dakota ","Women's Soccer "
"3924","Logan, Joe ","2018-2019","Jun 2005 -  ","Loyola University Maryland ","Women's Basketball "
"3925","Lolla, Ken ","2018-2019","Jan 2006 - Feb 2019 ","University of Louisville ","Men's Soccer "
"3926","Lollar, C. Alan ","2018-2019","Sep 2007 -  ","Murray State University ","Mixed Rifle "
"3927","Lombardi, Melyssa ","2018-2019","Aug 2018 -  ","University of Oregon ","Softball "
"3928","London, Mike ","2018-2019","Feb 2019 -  ","William & Mary ","Football "
"3929","London, Mike ","2018-2019","Feb 2017 - Feb 2019 ","Howard University ","Football "
"3930","London, Pam ","2018-2019","May 2019 -  ","Sacred Heart University ","Softball "
"3931","Long, Kevin ","2018-2019","Sep 2008 - Feb 2020 ","Marshall University ","Women's Soccer "
"3932","Long, Marc ","2018-2019","Apr 2005 -  ","University of Iowa ","Women's Swimming and Diving "
"3933","Long, Marc ","2018-2019","Apr 2005 -  ","University of Iowa ","Men's Swimming and Diving "
"3934","Long, Rocky ","2018-2019","Feb 2011 - Feb 2020 ","San Diego State University ","Football "
"3935","Longacre, Christy ","2018-2019","Apr 2018 -  ","Georgetown University ","Field Hockey "
"3936","Loomis, Geoff ","2018-2019","Jul 2015 -  ","University of Portland ","Baseball "
"3937","Looney, Ryan ","2018-2019","Jun 2019 -  ","Idaho State University ","Men's Basketball "
"3938","Loorz, Ben ","2018-2019","Jul 2016 -  ","University of Nevada, Las Vegas ","Men's Swimming and Diving "
"3939","Loorz, Ben ","2018-2019","Jul 2016 -  ","University of Nevada, Las Vegas ","Women's Swimming and Diving "
"3940","Looze, Ray ","2018-2019","Jul 2002 -  ","Indiana University, Bloomington ","Men's Swimming and Diving "
"3941","Looze, Ray ","2018-2019","Jul 2005 -  ","Indiana University, Bloomington ","Women's Swimming and Diving "
"3942","Lopes, Samuel ","2018-2019","May 2014 -  ","Providence College ","Women's Soccer "
"3943","Lopez Miro, Sergio ","2018-2019","Jun 2018 -  ","Virginia Polytechnic Institute and State University ","Women's Swimming and Diving "
"3944","Lopez Miro, Sergio ","2018-2019","Jun 2018 -  ","Virginia Polytechnic Institute and State University ","Men's Swimming and Diving "
"3945","Lopez, Jennifer ","2018-2019","Jun 2017 -  ","North Dakota State University ","Women's Volleyball "
"3946","Lora, Manny ","2018-2019","Sep 2018 - Jun 2020 ","Alabama A&M University ","Baseball "
"3947","Lorio, Jeff ","2018-2019","Oct 2016 -  ","University of New Orleans ","Men's Golf "
"3948","Lottich, Matt ","2018-2019","May 2016 -  ","Valparaiso University ","Men's Basketball "
"3949","Loughran, John T. ","2018-2019","Aug 1997 -  ","Loyola Marymount University ","Men's Water Polo "
"3950","Louw, Kylie ","2018-2019","Apr 2019 -  ","Northern Arizona University ","Women's Soccer "
"3951","Lovelady, Greg ","2018-2019","Aug 2016 -  ","University of Central Florida ","Baseball "
"3952","Lovell, Bertram ","2018-2019","Aug 2003 -  ","Grambling State University ","Women's Track, Outdoor "
"3953","Lovell, Bertram ","2018-2019","Aug 2009 -  ","Grambling State University ","Men's Cross Country "
"3954","Lovell, Bertram ","2018-2019","Aug 2003 -  ","Grambling State University ","Women's Cross Country "
"3955","Lovell, Bertram ","2018-2019","Aug 2003 -  ","Grambling State University ","Men's Track, Outdoor "
"3956","Lovell, Bertram ","2018-2019","Aug 2003 -  ","Grambling State University ","Men's Track, Indoor "
"3957","Lovell, Bertram ","2018-2019","Aug 2003 -  ","Grambling State University ","Women's Track, Indoor "
"3958","Lowe, Jason ","2018-2019","Jan 2019 -  ","Boston College ","Women's Soccer "
"3959","Lowery, Todd ","2018-2019","Mar 2015 -  ","The University of Texas Rio Grande Valley ","Women's Volleyball "
"3960","Lubahn, Casey ","2018-2019","Aug 2011 -  ","Michigan State University ","Men's Golf "
"3961","Lucas, Ashley ","2018-2019","Dec 2017 -  ","University of Illinois Chicago ","Women's Track, Indoor "
"3962","Lucas, Ashley ","2018-2019","Dec 2017 -  ","University of Illinois Chicago ","Men's Cross Country "
"3963","Lucas, Ashley ","2018-2019","Dec 2017 -  ","University of Illinois Chicago ","Women's Cross Country "
"3964","Lucas, Ashley ","2018-2019","Dec 2017 -  ","University of Illinois Chicago ","Men's Track, Outdoor "
"3965","Lucas, Ashley ","2018-2019","Dec 2017 -  ","University of Illinois Chicago ","Women's Track, Outdoor "
"3966","Lucas, Ashley ","2018-2019","Dec 2017 -  ","University of Illinois Chicago ","Men's Track, Indoor "
"3967","Lucas, Chelsey ","2018-2019","Sep 2016 - Mar 2019 ","Alcorn State University ","Women's Volleyball "
"3968","Lucas, Chelsey ","2018-2019","Mar 2019 -  ","University of Arkansas, Pine Bluff ","Women's Volleyball "
"3969","Lucas, Matt ","2018-2019","Sep 2017 -  ","University of North Florida ","Men's Tennis "
"3970","Lucas, Mike ","2018-2019","Oct 2014 -  ","College of the Holy Cross ","Women's Tennis "
"3971","Lucas-White, Penny ","2018-2019","Sep 2011 -  ","Alabama State University ","Women's Volleyball "
"3972","Luciano, Andre ","2018-2019","Aug 2003 - Jan 2019 ","Northern Arizona University ","Women's Soccer "
"3973","Luckie, Elizabeth ","2018-2019","Aug 2003 - May 2019 ","Sacred Heart University ","Softball "
"3974","Ludtke, Andrew ","2018-2019","Aug 2016 -  ","Virginia Military Institute ","Men's Cross Country "
"3975","Ludtke, Andrew ","2018-2019","Aug 2016 -  ","Virginia Military Institute ","Women's Cross Country "
"3976","Ludwig, Ryan ","2018-2019","Jul 2011 -  ","Northern Illinois University ","Men's Wrestling "
"3977","Luellen, Melissa ","2018-2019","Aug 2015 -  ","Auburn University ","Women's Golf "
"3978","Luft, Hanna ","2018-2019","Sep 2017 - Aug 2019 ","Loyola Marymount University ","Women's Rowing "
"3979","Luke, Matt ","2018-2019","Aug 2017 - Jan 2020 ","University of Mississippi ","Football "
"3980","Lundgaard, Bret ","2018-2019","Jun 2017 -  ","Princeton University ","Women's Swimming and Diving "
"3981","Lundy, Ralph ","2018-2019","Aug 1987 - Mar 2020 ","College of Charleston (South Carolina) ","Men's Soccer "
"3982","Lunsford, Chad ","2018-2019","Nov 2017 -  ","Georgia Southern University ","Football "
"3983","Lupenec, Mike ","2018-2019","Nov 1996 - Aug 2019 ","University of Detroit Mercy ","Women's Soccer "
"3984","Luther, Matthew ","2018-2019","Aug 2015 -  ","University of South Alabama ","Women's Golf "
"3985","Lycan, Kelly ","2018-2019","Sep 2001 - Apr 2019 ","Western Michigan University ","Women's Track, Indoor "
"3986","Lycan, Kelly ","2018-2019","Sep 2001 - Apr 2019 ","Western Michigan University ","Women's Track, Outdoor "
"3987","Lycan, Kelly ","2018-2019","Sep 2001 - Apr 2019 ","Western Michigan University ","Women's Cross Country "
"3988","Lye, Joey ","2018-2019","Sep 2017 - Aug 2020 ","Bucknell University ","Softball "
"3989","Lykins, Elizabeth ","2018-2019","Apr 2012 -  ","University of North Carolina Asheville ","Women's Swimming and Diving "
"3990","Lynch, Bob ","2018-2019","Feb 1989 -  ","Saint Joseph's University ","Men's Golf "
"3991","Lynch, MaryKate ","2018-2019","Aug 2017 -  ","Lehigh University ","Women's Golf "
"3992","Lynum, Kevin ","2018-2019","Apr 2019 - Jun 2020 ","Florida A&M University ","Women's Basketball "
"3993","Lyon, Corey ","2018-2019","Aug 2014 - Sep 2018 ","University of Louisiana Monroe ","Softball "
"3994","Lyons, Sean ","2018-2019","Aug 2016 -  ","Southern Illinois University Edwardsville ","Baseball "
"3995","Ma, Andy ","2018-2019","Aug 2009 -  ","University of Pennsylvania ","Women's Fencing "
"3996","Ma, Andy ","2018-2019","Aug 2009 -  ","University of Pennsylvania ","Men's Fencing "
"3997","Maas, Greg ","2018-2019","Mar 2013 -  ","Utah Valley University ","Men's Soccer "
"3998","Mabile, Christine ","2018-2019","Aug 2018 -  ","Boise State University ","Women's Swimming and Diving "
"3999","MacDonald, Brent ","2018-2019","Feb 2009 -  ","Xavier University ","Women's Swimming and Diving "
"4000","MacDonald, Brent ","2018-2019","Feb 2009 -  ","Xavier University ","Men's Swimming and Diving "
"4001","MacDonald, Christine ","2018-2019","May 2019 -  ","Central Michigan University ","Women's Gymnastics "
"4002","MacDonald, Geoff ","2018-2019","Aug 2003 -  ","Vanderbilt University ","Women's Tennis "
"4003","MacDonald, Neil ","2018-2019","Mar 2013 -  ","Jacksonville State University ","Women's Soccer "
"4004","MacDonald, Steve ","2018-2019","Jul 2019 -  ","St. Cloud State University ","Women's Ice Hockey "
"4005","MacGillivray, Mountain ","2018-2019","May 2018 -  ","La Salle University ","Women's Basketball "
"4006","MacIntyre, Mike ","2018-2019","Jan 2013 - Feb 2019 ","University of Colorado, Boulder ","Football "
"4007","MacKay, Tripp ","2018-2019","Aug 2018 -  ","Kennesaw State University ","Softball "
"4008","MacKenzie, Chris ","2018-2019","Jun 2013 -  ","University of Connecticut ","Women's Ice Hockey "
"4009","MacPherson, Scott ","2018-2019","Sep 2017 -  ","Harvard University ","Men's Skiing "
"4010","MacPherson, Scott ","2018-2019","Sep 2017 -  ","Harvard University ","Women's Skiing "
"4011","MacWilliams, Dave ","2018-2019","Aug 2003 - Nov 2018 ","Temple University ","Men's Soccer "
"4012","Maccoll, Jonathan ","2018-2019","Feb 2018 -  ","Rutgers, The State University of New Jersey, New Brunswick ","Women's Swimming and Diving "
"4013","Macedo, Matt ","2018-2019","Sep 2015 -  ","University of California, Santa Barbara ","Women's Swimming and Diving "
"4014","Macedo, Matt ","2018-2019","Sep 2015 -  ","University of California, Santa Barbara ","Men's Swimming and Diving "
"4015","Macfarlane, Bob ","2018-2019","Jun 2010 -  ","St. Bonaventure University ","Men's Track, Outdoor "
"4016","Macfarlane, Bob ","2018-2019","Jun 2010 -  ","St. Bonaventure University ","Women's Cross Country "
"4017","Macfarlane, Bob ","2018-2019","Jun 2010 -  ","St. Bonaventure University ","Women's Track, Outdoor "
"4018","Macfarlane, Bob ","2018-2019","Jun 2010 -  ","St. Bonaventure University ","Men's Cross Country "
"4019","Machado, Marc ","2018-2019","Jul 2016 -  ","California Baptist University ","Women's Golf "
"4020","Machan, Rob ","2018-2019","Aug 2006 -  ","Sacred Heart University ","Women's Volleyball "
"4021","Machtolf, Mark ","2018-2019","Sep 2003 -  ","Gonzaga University ","Baseball "
"4022","Maciariello, Carmen ","2018-2019","Apr 2019 -  ","Siena College ","Men's Basketball "
"4023","Mack, Chris ","2018-2019","Apr 2018 -  ","University of Louisville ","Men's Basketball "
"4024","Macpherson, David ","2018-2019","Oct 2016 - Nov 2018 ","George Washington University ","Men's Tennis "
"4025","Macy, Heather ","2018-2019","Jun 2010 - Nov 2018 ","East Carolina University ","Women's Basketball "
"4026","Madalon, Matthew ","2018-2019","May 2016 -  ","Princeton University ","Men's Lacrosse "
"4027","Madden, Thomas ","2018-2019","Sep 2013 - Jun 2020 ","La Salle University ","Women's Rowing "
"4028","Madigan, James ","2018-2019","Sep 2011 -  ","Northeastern University ","Men's Ice Hockey "
"4029","Madison, Michele ","2018-2019","Aug 2005 -  ","University of Virginia ","Field Hockey "
"4030","Madl, Diane ","2018-2019","Aug 2003 -  ","Providence College ","Field Hockey "
"4031","Madsen, Eric ","2018-2019","Aug 2008 -  ","Utah Valley University ","Baseball "
"4032","Madsen, Mark ","2018-2019","May 2019 -  ","Utah Valley University ","Men's Basketball "
"4033","Maes, Vicky ","2018-2019","Apr 2019 -  ","University of New Mexico ","Women's Tennis "
"4034","Magarity, Dave ","2018-2019","Jun 2006 -  ","U.S. Military Academy ","Women's Basketball "
"4035","Magarity, Maureen ","2018-2019","Jul 2010 - May 2020 ","University of New Hampshire ","Women's Basketball "
"4036","Magness, Steve ","2018-2019","Sep 2012 -  ","University of Houston ","Men's Cross Country "
"4037","Magness, Steve ","2018-2019","Sep 2012 -  ","University of Houston ","Women's Cross Country "
"4038","Mahefu, Tanya ","2018-2019","Sep 2014 - Aug 2019 ","Northern Illinois University ","Women's Tennis "
"4039","Mahoney, Jesse ","2018-2019","Jan 2016 -  ","University of Colorado, Boulder ","Women's Volleyball "
"4040","Mahowald, Jason ","2018-2019","Sep 2005 -  ","University of South Dakota ","Men's Swimming and Diving "
"4041","Mahowald, Jason ","2018-2019","Sep 2005 -  ","University of South Dakota ","Women's Swimming and Diving "
"4042","Maiello, Chris ","2018-2019","Jun 2017 -  ","University of Connecticut ","Women's Swimming and Diving "
"4043","Maiello, Chris ","2018-2019","Jun 2017 -  ","University of Connecticut ","Men's Swimming and Diving "
"4044","Main Kohli, Becca ","2018-2019","Aug 1996 -  ","Quinnipiac University ","Field Hockey "
"4045","Mainieri, Paul ","2018-2019","Aug 2006 -  ","Louisiana State University ","Baseball "
"4046","Mainz, Jenny ","2018-2019","Aug 2003 -  ","University of Alabama ","Women's Tennis "
"4047","Maisonneuve, Brian ","2018-2019","Jul 2018 -  ","The Ohio State University ","Men's Soccer "
"4048","Majerle, Dan ","2018-2019","May 2013 - Apr 2020 ","Grand Canyon University ","Men's Basketball "
"4049","Malcom, Tiara ","2018-2019","Jul 2016 - Jan 2021 ","Florida International University ","Women's Basketball "
"4050","Mallia, Joe ","2018-2019","Jan 2019 -  ","Loyola University Maryland ","Women's Soccer "
"4051","Mallory, Curt ","2018-2019","Feb 2017 -  ","Indiana State University ","Football "
"4052","Malloy, Chris ","2018-2019","Jul 2014 -  ","University of Mississippi ","Men's Golf "
"4053","Malone, J.D. ","2018-2019","Jul 1994 -  ","University of Louisiana Monroe ","Men's Track, Indoor "
"4054","Malone, J.D. ","2018-2019","Jul 1994 -  ","University of Louisiana Monroe ","Women's Track, Indoor "
"4055","Malone, J.D. ","2018-2019","Aug 1994 -  ","University of Louisiana Monroe ","Men's Track, Outdoor "
"4056","Malone, J.D. ","2018-2019","Oct 1993 -  ","University of Louisiana Monroe ","Men's Cross Country "
"4057","Malone, J.D. ","2018-2019","Jul 1994 -  ","University of Louisiana Monroe ","Women's Cross Country "
"4058","Malone, J.D. ","2018-2019","Jul 2003 -  ","University of Louisiana Monroe ","Women's Track, Outdoor "
"4059","Malone, Patrick ","2018-2019","Feb 2019 -  ","Manhattan College ","Men's Swimming and Diving "
"4060","Malone, Patrick ","2018-2019","Feb 2019 -  ","Manhattan College ","Women's Swimming and Diving "
"4061","Malone, Scott ","2018-2019","Aug 2007 -  ","Texas A&M University-Corpus Christi ","Baseball "
"4062","Maloney, Gretchen ","2018-2019","Sep 2015 -  ","Idaho State University ","Women's Tennis "
