"","Name","Date","Period","School","Sport"
"148","Angel , Wendell ","2018-2019","Aug 2019 -  ","University of Northern Colorado ","Men's Cross Country "
"149","Angel , Wendell ","2018-2019","Aug 2019 -  ","University of Northern Colorado ","Women's Cross Country "
"150","Angel , Wendell ","2018-2019","Aug 2019 -  ","University of Northern Colorado ","Women's Track, Indoor "
"151","Angel, Wayne ","2018-2019","Aug 2014 - Sep 2019 ","Tennessee Technological University ","Women's Cross Country "
"152","Angel, Wayne ","2018-2019","Aug 2014 - Sep 2019 ","Tennessee Technological University ","Women's Track, Outdoor "
"153","Angel, Wayne ","2018-2019","Aug 2014 - Sep 2019 ","Tennessee Technological University ","Women's Track, Indoor "
"154","Angel, Wayne ","2018-2019","Aug 2014 - Sep 2019 ","Tennessee Technological University ","Men's Cross Country "
"155","Anger, Matt ","2018-2019","Aug 1992 -  ","University of Washington ","Men's Tennis "
"156","Anghelescu, Alexandra ","2018-2019","Aug 2019 -  ","Pennsylvania State University ","Women's Tennis "
"157","Angus, Niall ","2018-2019","Sep 2016 -  ","Santa Clara University ","Men's Tennis "
"158","Anthony, Jr., Donald ","2018-2019","Jul 2018 -  ","The Ohio State University ","Men's Fencing "
"159","Anthony, Jr., Donald ","2018-2019","Jul 2018 -  ","The Ohio State University ","Women's Fencing "
"160","Anthony-Ryan, Terri ","2018-2019","Apr 2005 - Sep 2018 ","University of Detroit Mercy ","Women's Golf "
"161","Anti, Michael ","2018-2019","Aug 2017 -  ","U.S. Naval Academy ","Mixed Rifle "
"162","Antoine, Zenarae ","2018-2019","May 2011 -  ","Texas State University ","Women's Basketball "
"163","Antun, Mauricio ","2018-2019","Nov 2018 -  ","Belmont University ","Women's Tennis "
"164","Antun, Mauricio ","2018-2019","Mar 2016 -  ","Belmont University ","Men's Tennis "
"165","Aoki, Mik ","2018-2019","Aug 2010 - Aug 2019 ","University of Notre Dame ","Baseball "
"166","Aoki, Mikio ","2018-2019","Aug 2019 -  ","Morehead State University ","Baseball "
"167","Appleman, Erin ","2018-2019","Aug 2003 -  ","Yale University ","Women's Volleyball "
"168","Applewhite, Major ","2018-2019","Jan 2017 - Feb 2019 ","University of Houston ","Football "
"169","Applin, Fred ","2018-2019","Jun 2012 -  ","Charleston Southern University ","Women's Basketball "
"170","Aprile, Holly ","2018-2019","Aug 2018 -  ","University of Louisville ","Softball "
"171","Arce, Marisa ","2018-2019","Jul 2015 - Sep 2019 ","Indiana University-Purdue University Indianapolis ","Women's Tennis "
