,School,Latitude,Longitude
247,Creighton University,41.26533000000006,-95.94934999999998
248,University of Akron,41.07048000000003,-81.50976999999995
249,Rice University,29.719030000000032,-95.39804999999996
250,Bellarmine University,38.21760000000006,-85.70772999999997
251,Boise State University,43.60298000000006,-116.20465999999999
252,The University of North Carolina at Greensboro,36.06754818627615,-79.81863742370693
253,University of Louisiana at Lafayette,39.69296005540198,-104.97106993802407
254,Towson University,39.39298000000008,-76.60448999999994
255,University of North Alabama,34.80920000000003,-87.67831999999999
256,University of Oklahoma,35.389830000000075,-97.56766999999996
257,Kansas State University,39.200416000000075,-96.58855199999994
258,"University of Tennessee, Knoxville",35.95250000000004,-83.92706999999996
259,Sacred Heart University,41.22251000000006,-73.24384999999995
260,Lamar University,30.043450000000064,-94.07333999999997
261,North Carolina Central University,35.97467000000006,-78.89804999999996
262,Drake University,41.60044000000005,-93.65102999999999
263,Colorado College,38.84660000000008,-104.82428999999996
264,"University of Arkansas, Fayetteville",36.070340000000044,-94.17756999999995
265,Augusta University,48.33527000000004,10.899050000000045
266,North Dakota State University,46.89040000000006,-96.80470999999994
267,"University of California, Berkeley",37.86948000000007,-122.25928999999996
268,Stephen F. Austin State University,31.620750000000044,-94.65253999999999
269,Robert Morris University,40.43866000000003,-79.99433999999997
270,University of Evansville,37.973100000000045,-87.53189999999995
271,Weber State University,41.193310000000054,-111.94671999999997
272,University of Northern Iowa,42.51312000000007,-92.46208999999999
273,Iona College,40.92718000000008,-73.78546999999998
274,Mississippi Valley State University,33.511430000000075,-90.33917999999994
275,Montana State University-Bozeman,45.66513000000003,-111.04947999999996
276,Utah Valley University,40.275990000000036,-111.71353999999997
277,Troy University,31.79871000000003,-85.95652999999999
278,Brigham Young University,40.25238000000007,-111.65014999999994
279,University of Tennessee at Martin,36.345641604589005,-88.86810491581038
280,Lake Superior State University,46.49172000000004,-84.36270999999994
281,Oregon State University,44.56453000000005,-123.27414999999996
282,"California State University, Sacramento",38.561240000000055,-121.42445999999995
283,University of Texas at San Antonio,29.584400000000073,-98.61760999999996
284,University of Maryland Eastern Shore,38.20611000000008,-75.68629999999996
285,Florida Atlantic University,30.312987220064034,-81.60046165683245
286,Auburn University,32.60414000000003,-85.48187999999999
287,Florida A&M University,30.417120000000068,-84.29032999999998
288,"Fairleigh Dickinson University, Metropolitan Campus",45.99852000000004,-87.84381999999994
289,University of Maine,44.90004000000005,-68.66598999999997
290,Wichita State University,37.71648000000005,-97.29649999999998
291,Oakland University,42.672420000000045,-83.21825999999999
292,Franklin & Marshall College,40.047480000000064,-76.31790999999998
293,Seattle University,47.66640000000007,-122.30887999999999
294,Elon University,36.101780000000076,-79.50672999999995
295,Marquette University,43.03833000000003,-87.92777999999998
296,Bethune-Cookman University,29.213460000000055,-81.03275999999994
297,Vanderbilt University,36.14862000000005,-86.80487999999997
298,San Jose State University,37.33436000000006,-121.88058999999998
299,San Diego State University,32.77215000000007,-117.07252999999997
300,"Southern University, Baton Rouge",30.522950000000037,-91.19802999999996
301,University of Delaware,39.67990000000003,-75.75395999999995
302,Cleveland State University,41.50220000000007,-81.67531999999994
303,Indiana University-Purdue University Indianapolis,39.772890000000075,-86.16719999999998
304,Loyola Marymount University,33.968210000000056,-118.42187999999999
305,Morgan State University,39.34585000000004,-76.58592999999996
306,Valparaiso University,41.463550000000055,-87.04498999999998
307,Clarion University of Pennsylvania,41.21043000000003,-79.37824999999998
308,Colorado State University,40.578070000000025,-105.08155
309,Campbell University,35.40800000000007,-78.73803999999996
310,Kent State University,41.148250000000075,-81.34848999999997
311,Eastern Michigan University,42.24672000000004,-83.62203999999997
312,Fordham University,40.86135000000007,-73.88994999999994
313,Utah State University,41.74094000000008,-111.81470999999999
314,Western Carolina University,35.30847000000006,-83.18699999999995
315,Mississippi State University,33.454090000000065,-88.79201999999998
316,University of Kentucky,38.03889000000004,-84.50489999999996
317,University of Pennsylvania,39.95216000000005,-75.19453999999996
318,University of the Pacific,37.98005000000006,-121.31240999999994
319,Long Beach State University,33.781541402233586,-118.10775488468119
320,Miami University (Ohio),39.50950000000006,-84.73449999999997
321,University of South Alabama,30.695530000000076,-88.17483999999996
322,St. Lawrence University,44.59333000000004,-75.15990999999997
323,University of Houston,30.054990000000032,-95.26147999999995
324,University of San Diego,32.77191000000005,-117.18621999999999
325,University of Cincinnati,39.13431000000003,-84.51631999999995
